ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,acct_num,age
115-04-4507,4218196001337,Jonathan,Johnson,M,863 Lawrence Valleys,Ambler,PA,19002,40.1809,-75.2156,32412,Accounting technician,888022315787,65.35342465753425
715-55-5575,4351161559407816183,Elaine,Fuller,F,310 Kendra Common Apt. 164,Leland,NC,28451,34.268,-78.0578,27112,Professor Emeritus,917558277935,61.673972602739724
167-48-5821,4192832764832,Michael,Cameron,M,05641 Robin Port,Cordova,SC,29039,33.4275,-80.8857,4215,International aid/development worker,718172762479,51.68767123287671
406-83-7518,4238849696532874,Brandon,Williams,M,26916 Carlson Mountain,Birmingham,AL,35242,33.3813,-86.7046,493806,Seismic interpreter,947268892251,82.13424657534246
697-93-1877,4514627048281480,Lisa,Hernandez,F,809 Burns Creek,Fargo,GA,31631,30.7166,-82.5801,559,Medical laboratory scientific officer,888335239225,85.73424657534247
246-08-3947,3517182278248964,Vincent,Hickman,M,465 Lam Mission,Forsyth,GA,31029,33.0508,-83.9362,16287,Community arts worker,245877882397,48.632876712328766
347-03-9639,213193010310510,Kayla,Ramirez,F,82997 Kristen Valley Suite 311,Patterson,LA,70392,29.6967,-91.2812,8456,Plant breeder/geneticist,465378164447,85.94520547945206
479-94-0888,4065133387262473,Danielle,Leblanc,F,108 Tanya Terrace Apt. 267,Rochester,MI,48307,42.6593,-83.1225,97195,Quarry manager,950105810049,51.10958904109589
061-22-6210,630447468723,Cheryl,Robinson,F,805 Brendan Neck,Lakewood,CA,90715,33.8405,-118.0767,79812,Retail buyer,940251608167,22.435616438356163
162-08-8321,2222913619399092,Bradley,Sandoval,M,3534 Anderson Rue Suite 751,Glendale,CA,91202,34.1652,-118.2656,172817,Acupuncturist,684868121383,40.01917808219178
103-10-8809,4251354278496,Victoria,Roman,F,841 Joseph Coves,Pensacola,FL,32504,30.4873,-87.1872,254917,Surgeon,297020387114,86.96712328767123
620-27-5618,4874016400529,Mandy,Green,F,680 Charles Spurs Apt. 805,Sherman,TX,75090,33.6435,-96.6075,46563,Television floor manager,161286867170,57.51780821917808
131-06-5051,345331586923222,Stanley,Johnson,M,3421 Brennan Walks Suite 337,Ambler,PA,19002,40.1809,-75.2156,32412,Maintenance engineer,903253916954,23.454794520547946
229-04-3165,6541458685014295,Victor,Baker,M,655 Obrien Pass,Selden,NY,11784,40.8699,-73.0448,24655,Commercial art gallery manager,989496879843,47.35068493150685
195-33-0728,3508835615951480,Ellen,Ortiz,F,482 Robert Light Apt. 994,Nacogdoches,TX,75965,31.7195,-94.6168,55627,"Optician, dispensing",917181406434,38.47123287671233
312-37-3444,6577738721489511,Robert,Potter,M,32003 Carr Trafficway Apt. 769,Donora,PA,15033,40.1768,-79.8619,4910,"Engineer, broadcasting (operations)",767589450881,33.07123287671233
